# energy dos(up) dos(down)
-1.387845809999999958e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.387055810000000022e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.386255810000000110e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.385465809999999998e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.384675809999999885e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.383875809999999973e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.383085810000000038e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.382295810000000102e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.381495810000000013e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.380705809999999900e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.379915809999999965e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.379115810000000053e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.378325810000000118e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.377535810000000005e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.376735809999999915e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.375945809999999980e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.375155810000000045e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.374355809999999956e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.373565810000000020e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.372775809999999908e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.371975809999999996e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.371185810000000060e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.370395810000000125e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.369595810000000036e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.368805809999999923e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.368015809999999988e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.367225810000000052e+01 0.000000000000000000e+00 -0.000000000000000000e+00
